year,ppm
2004.7077,377.38
2004.7896,377.69
2004.8743,378.04
2004.9563,378.37
2005.0411,378.32
2005.126,378.95
2005.2027,378.88
2005.2877,379.38
2005.3699,379.02
2005.4548,379.61
2005.537,379.81
2005.6219,380.09
2005.7068,379.77
2005.789,380.31
2005.874,380.52
2005.9562,380.89
2006.0411,381.35
2006.126,381.3
2006.2027,381.07
2006.2877,381.68
2006.3699,381.68
2006.4548,381.55
2006.537,381.44
2006.6219,381.92
2006.7068,382.16
2006.789,382.56
2006.874,382.37
2006.9562,382.55
2007.0411,382.47
2007.126,382.98
2007.2027,382.83
2007.2877,383.56
2007.3699,383.17
2007.4548,383.39
2007.537,383.59
2007.6219,383.26
2007.7068,384.23
2007.789,384.37
2007.874,384.58
2007.9562,384.54
2008.041,385.06
2008.1257,385.13
2008.2049,384.3
2008.2896,384.04
2008.3716,385.26
2008.4563,385.58
2008.5383,385.45
2008.623,385.54
2008.7077,386.46
2008.7896,386.3
2008.8743,386.24
2008.9563,386.05
2009.0411,386.64
2009.126,386.41
2009.2027,387.01
2009.2877,386.86
2009.3699,386.89
2009.4548,387.12
2009.537,387.22
2009.6219,387.52
2009.7068,388.03
2009.789,387.87
2009.874,388.29
2009.9562,388.42
2010.0411,388.54
2010.126,389.33
2010.2027,389.5
2010.2877,389.67
2010.3699,389.95
2010.4548,389.73
2010.537,389.48
2010.6219,389.96
2010.7068,390.23
2010.789,390.71
2010.874,390.91
2010.9562,390.75
2011.0411,391.28
2011.126,391.2
2011.2027,390.93
2011.2877,390.65
2011.3699,391
2011.4548,391.18
2011.537,391.74
2011.6219,391.65
2011.7068,392.4
2011.789,392.48
2011.874,392.5
2011.9562,392.74
2012.041,393.06
2012.1257,392.62
2012.2049,392.81
2012.2896,393.68
2012.3716,393.57
2012.4563,393.38
2012.5383,393.7
2012.623,394.02
2012.7077,394.55
2012.7896,394.58
2012.8743,395.24
2012.9563,395.33
2013.0411,395.64
2013.126,396.16
2013.2027,395.74
2013.2877,395.61
2013.3699,396.59
2013.4548,396.25
2013.537,396.42
2013.6219,396.77
2013.7068,396.72
2013.789,397.18
2013.874,397.36
2013.9562,397.68
2014.0411,397.82
2014.126,397.28
2014.2027,397.93
2014.2877,398.58
2014.3699,398.56
